company,title,link,description,source
SOCAR(쏘카),플랫폼 프로덕트 매니저(PM),https://www.linkedin.com/jobs/view/4187971125/?eBP=CwEAAAGWUmIKuCiyId4mKwEC8GLgmosZcw8wojp1fZICR8T0mWummIbYQ_0cg4rsBjUgqB8QjOfsxodreR_suUpHxd_pU_ZPLeo7A7yLR55dOBSz5xRKxQkqItB_PChFT1_CCyQ-vPC4PThv5Eq9rH3O8OlHAt9pojS5CROMGJRc21wtksm7KSuKxAhBDrMc_BpozZOm8mR3mC1YvzOPm4_Ul5ECdFjM-85pJRpLMH3-GfRykp6kvlPz-aa3ID04y_L5v4mKPN5F6Owwxm7BD5iENMhrnDwAajXhvZNBvFhMcswGOfwX5o_sQNPHf46IGczoQFs0v9FxJyBXpQ6KuARCHPypG1nDENjVOJeTOJgdJKACmmtTLU2kAsx9_BeWg8gZ9cWwyb5OmAkAHsnb5AgdpVx-e8IPVCwM2MJfzVmPo0mpjcZBMcxIR_pA9-f966pOIzSJ44TT4NqBPBA&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=3%2BSiBwhJrSVFYjGaRisUHA%3D%3D&trk=flagship3_search_srp_jobs,"5년 이상의 PO, PM 경험을 보유한 분 (가입, 회원, 결제, 인증, 리워드 등 플랫폼 서비스 경험자 및 고객CS 시스템 경험을 갖춘 분 우대)플랫폼서비스 구축·개편, 복잡한 프로세스 개선(PI) 프로젝트를 통해 실질적인 비용 절감이나 운영 효율화를 이끌어 낸 경험이 있는 분비즈니스 목표와 시스템 구조를 종합적으로 이해하고, 이를 연결해 문제를 해결할 수 있는 역량을 갖춘 분OKR 기반 사고와 데이터 분석을 통해 목표를 설정하고 성과를 측정·분석해 실행력을 높일 수 있는 분효율적이고 명확한 커뮤니케이션으로 개발자, 제품 디자이너, 데이터 분석가, 사업·운영 담당자와 원활히 협업할 수 있는 분동료들과의 유연한 소통을 통해 팀워크를 향상시키고, 구성원의 역량 및 성장을 이끌어낸 경험이 있는 분",LinkedIn
CJ OLIVE YOUNG,[올리브영] 개발 보안 담당자,https://www.linkedin.com/jobs/view/4206934935/?eBP=CwEAAAGWUmIKuMdxHVK1-SZUPwnA8pyGJeDopzouHH_Iqo6z50VgM8wVWZCZUDpySvbJIG2EP7PHtIpD83Srukmxc5jto4G9wS2iDzPSfmwK2x1akecMRbWz2KyTFRfq5ik4g8JWXD0xMF2I4lri9vrby-GYK_CLZ05KQR5LknPWPpDzlLChywnEAkIP1pKxLllTRIs2WvhZwpskC-swp0hfNl09QRjd9kNV8CINfuAExx97pSy_9rzMpTf6ybUxt1pCOyrOQ9eGle_SJULlu14pEMeTxDo5LjEWPr72tKUSoZnBMGj0ipKA7sYhbPXcPve0WrOwsLeh0hh-mPxO4f-m6HmG6KZ8a5Ff5KlnD9L4KOB_12Y57psm8DZphKg6Oyptdd63eR2kDIe7aFGd_iFBixr9IFxK7XxK2iofePjq8WymRzTmASjjfeqIwx_xbIyBCXeJ0iWP7eXmvyoQFQb8phNTttmldVOM-Hv41Q7PjFRqyWhg08gZ6_fiNghyxZ9UXwdW4A&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=iHykRue0pwzAdDbEy4DuVQ%3D%3D&trk=flagship3_search_srp_jobs,"플랫폼 서비스(웹/앱) 취약점 조치 관리 지원자격 [Education] 4년제 학사 이상[Experience] 멀티 클라우드 보안 구축, 운영 및 통합 관리 DevSecOps 파이프라인 구축, 운영, 분석 업무 경험[Skill/Knowledge] 클라우드 보안 전반의 이해 (아키텍처, N/W, 인프라, IAM, 데이터 보호) 오픈소스 기반 보안 개발 역량 우대사항 [Skills & Experience] Okta 솔루션 운영 및 관리 경험 Container 및 쿠버네티스 보안성 검토 경험 보유 클라우드(AWS, GCP, OCI) 보안 자격증 소지[Character & Responsibility] 신기술에 대한 학습과 새로운 도전을 즐기시는 분 다양한 직군과 어울리며 적극적인 커뮤니케이션을 하려고 노력하시는 분 목표 달성을 위해 필요한 경우 본인의 역할을 적극적으로 확장할 수 있는 분 기타 안내사항",LinkedIn
CJ OLIVE YOUNG,[CJ올리브영] 백엔드 개발자 (커머스서비스),https://www.linkedin.com/jobs/view/4089962160/?eBP=CwEAAAGWUmIKuNJBmIdYrHn__2qm2EZ59xMh9r-HkUZV2M5QuHcwvlqglkmlrSBp7aN07WMjDxc2y-dTCeYKu8fcI5LLViLjMiRk65oEEM5CjWxqDDi6LxCSjuB81DyKfg--dipsVa0R6KRA55MgBHU3veHy4ybW1aJc3rDBPqT5OrGS00OGuwymwfaJ_ktgB7DNZH6EHpYU4lO_eRKWMAJo_9dJGcY0RB_MhLM7Jb9juzMWHu5Tolt7hztwCI-AG-v4Q18j2FmcAXWdJy6FTyqbBsmxo2vg9drJI3LycXBLrJ0Sl6wLqwbq30XRbG4IZ-w43hcp3KeU_VgrKkpT7igfsf7Sc05vtRVo71JWSeCscRUGjqddP47_zPf--l9Acr7ryR7qmo9lyzL_b_2zm8UHbvQFmOaKGqdgxMysJMoUK7TJp5a7H9bmweC4a79XnfvT1e_UEo5Hkqk4fWs&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=ZdZ51hpcCmIjYmTdK1OIkA%3D%3D&trk=flagship3_search_srp_jobs,"[CJ올리브영] 백엔드 개발자 (커머스서비스)직무소개 - 올리브영 온라인몰의 전시 및 기획전 Service 개발 전시 및 기획전 신규 프로젝트 수행 신규 Architecture 적용을 통한 레거시 시스템 개선 및 확장 문제 해결을 위한 가설 수립 및 검증 지원자격 - 5년 이상의 백엔드 애플리케이션 개발 경력이 있으신 분 아키텍처 디자인에 대한 이해가 있으신 분 잠재적인 문제를 해결을 위해 가설을 수립하고 수행한 경험이 있으신 분 실시간 트래픽 처리와 분산 시스템에 관한 이해가 있으신 분 PO, BPO, UI/UX 등의 유관부서와 원활한 커뮤니케이션이 가능한 분 올리브영의 성장과 함께 성공 경험을 만들어 가고 싶으신 분 우대사항 - Spring Boot 를 이용한 프로젝트 수행 경험이 있으신 분 Kotlin / Java 를 이용한 기능 개발 경험이 있으신 분 Docker, Kubernetes 등 컨테이너 기반 기술을 이용한 배포/운영 경험이 있으신 분 ORM(JPA/Hibernate) 및 Mongo DB 등의 NoSQL 환경에서의 설계/개발/운영 경험이 있으신 분 Microservices 설계 경험 MQ 나 Kafka 등의 비동기 처리 Stream Engine 운영/개발 경험이 있으신 분 다양한 캐싱 전략에 대한 이해 및 경험이 있으신 분 Redis, ElasticSearch 등 다양한 데이터 시스템에 대한 설계 및 운영 경험이 있으신분 기술 부채를 보면 잠 못 이루시는 분 기타 안내사항",LinkedIn
CJ OLIVE YOUNG,[CJ올리브영] 백엔드 개발자 (신사업 서비스),https://www.linkedin.com/jobs/view/4115351969/?eBP=CwEAAAGWUmIKuO7GKP8xHAMXTwwhuqPEo2kDj3irySMNWGQOQkf11ITi6HgtK4RWrbsu-B696Y1n38ARzW2GtP9HpZ1p-OzwlcylwDBcGIBnyDW2hjy9W4_Kkq_3XLSr_vuashxWlzpuMVeT-T1-XkEW0ikU3ESeNH_tf3G3tMNRn1LD2CweMcHCbtC4gESakRCvR_T04e11XxT_zgc1J6FrOlZkWbq3Uiy_S1ozxmZmmmprBvQoKkBuQuxwgKQBs1wZ1uMHAcq65jJBHu91gx8V2LBhbYIQw8VjL88gIJ--UmdcPh3B72MwwN_XcbIS_jvqeOGNk7qobcrlrQlKw9ZJUBXL9KnlhA_BDXcWhm9Nb08qr0Mk2uR_xGXh-KredRnHnGb0eWDU1AFMYSslNlajNriwGzU3XJrGnwhtPctPPFvrjb8clKecX5pKQv5Qo_xk-jJKFKXH0SHSizI&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=czvT1qwBzNX4xAAjqJEZ2g%3D%3D&trk=flagship3_search_srp_jobs,"지원자격 - 4년 이상의 백엔드 애플리케이션 개발 경력 Java/Kotlin을 이용해 Spring Framework 기반의 애플리케이션을 개발 경험 JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험 새로운 비즈니스 모델에 맞는 백엔드 서비스 설계 및 구현 경험 Git 등의 버전 관리 시스템 경험 우대사항 - E-commerce 백엔드 개발 경험 온/오프라인 상품 연동 및 통합 서비스 운영/구축 경험이 있으신 분 관계형 데이터베이스 및 NoSQL 설계 및 최적화 경험이 있으신 분 ElasticSearch(Open Search) 개발 경험 컨테이너 기반 기술을 이용한 배포/운영 경험 AWS를 활용한 개발, 운영 경험이 있으신 분 MSA 환경을 구축하고 운영해 본 경험이 있으신 분 기타 안내사항",LinkedIn
SOCAR(쏘카),차량 운영 매니저,https://www.linkedin.com/jobs/view/4208456843/?eBP=CwEAAAGWUmIKuF_XEU6oMmI7qREkiVleq4oqLLYDnTzZ4mBvquKyfkSi4JH3sAHIhaCqUYanmnIZOMu56NpZwAiQ0LgnfB1sElNcoeBkkApaWlJnVqydu25WphnRXsSIIJl6LbpPk63MswxVY923uKxxSW0gZzWNoIcEwmDdqDp2hz0CXERS0JqJZI0mI2df9th4NzWK0J-Suwl_F7Y__kAwdCef5l8qHHXs5VI0YWEBzkFWrQZBHT_c3Hx5RDLiEVyC1AhoPrIs58VYAGI-C5zQPf7INBTp0UnsFSL75fsg1AxQ_sjgHDXUqwIUDSB1l17tqaJw1nG0C2B3Vnguz8FNjcoNJTv-c-qlxF_WnEVPD7YivbMmUeO_-yco6yyNFLyhLxovkdidT-OM9hU5zXlfmRs7T3onqo9s7c99q1nwKpoof4G4SW_oUGx33weC1552uh7RgGuVvX0JilA&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=UcJfxxMAV6gm9UFSBVl9Cw%3D%3D&trk=flagship3_search_srp_jobs,"이런 분과 함께 성장하고 싶습니다차량 정비/운영 관련 경력 1~5년 또는 자동차학과 전공운영에 필요한 시스템 및 툴 사용 관리에 거부감이 없는 분협력사와 원활한 커뮤니케이션이 가능한 분데이터 통합 및 분석 능력을 갖춘 분모빌리티 운영에 대한 이해도를 가진 분이런 분이면 더욱 좋습니다차량 관리 역량 뿐 아니라, 더 효율적인 개선을 위한 운영 기획력을 두루 갖춘 분Excel / Big Query 등 데이터 활용 능력을 갖춘 분데이터 기반의 의사 결정과 분석적 사고를 통해 문제를 해결한 경험이 있는 분논리적 및 전략적 사고와 실행력이 뛰어난 분",LinkedIn
CJ OLIVE YOUNG,"[CJ올리브영] 백엔드 개발자 (주문/결제,CX/클레임)",https://www.linkedin.com/jobs/view/4103878769/?eBP=CwEAAAGWUmIKuKey7A7anEH57q-QtLvGsctAEN-2hFFO6v_hwVovHboH2SZsOnmpyyyfuSpjdxJcJLHeMTVAKypKLVoh237WItPBE_t84V32GVbzIkFP36r72DzQ5cdgLVEpOASy-BAtIwBPIvsay0rRW8TEaouhQxR-x8Lu-7kIduzhb3_4XwQ2yHus10lywqD1ChmrnhgGrciBkyw4F7AA9NjWf-wkvbmmjE3cyPEcsxRBouYjmKSuoLqXwiGvUxpPGIqIolq8w7E-STnEIP-CXhqdRIUiOjiCYCnPRAwldklEYwI4KXVOGQ5zaENVraeOuwbCk9siVBzNvpqySof5ztLxuhboXLLlNrWlKlaPrEUcRATfU7eFx2LuP6l5e5DSZR4Qqpa4ZDQkl0GDyLjUpq32-nRcXnJTLeNFJoBf_9dEagjO_dZ73Pot6PLzZy5B0vXij1Wm8iHbA2g&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=9sIj7boSdKRhD%2BDtMHdlEg%3D%3D&trk=flagship3_search_srp_jobs,"[CJ올리브영] 백엔드 개발자 (주문/결제,CX/클레임)직무소개 - 확장 가능하고 안정적인 E-commerce Platform 의 주문/결제,CX/클레임,정산,파트너오피스 영역 Service 개발 다른 엔지니어링 팀과 협업하여 Architecture 개선 및 수평적인 확장 수행 성능개선을 위해 가설을 수립하고 검증하며 온라인 몰의 알려진 혹은 잠재적인 문제 해결지원자격 - WEB 환경에 대한 기본적인 이해및 지식 3년 이상의 JAVA 기반의 웹 어플리케이션 개발 경험 알려진 문제 혹은 잠재적인 문제를 해결을 위해 가설을 수립하고 수행한 경험 새로운 도전을 좋아하시는 분 현업,PO,QA등 유관 부서및 기능 조직과 협업및 역할에 대한 이해우대사항 - 온라인몰 주문/결제/클레임/배송 프로세스를 잘 이해하고 관련 업무를 수행한 경험 Spring Boot 를 이용한 프로젝트 수행 경험 ORM(JPA/Hibernate) 에 대한 이해 대용량 트래픽 처리 유 경험자 클라우드 환경 (AWS,Azure 등)개발 경험 기타 안내사항",LinkedIn
CJ OLIVE YOUNG,[CJ올리브영] 백엔드 개발자 (배송/물류/OMS),https://www.linkedin.com/jobs/view/4165633375/?eBP=CwEAAAGWUmIKuLQwLyuNQ6SOrPI0flm1Z1Zh8IR32A_oexJng35YQRNKBycKVP4qZrlUqq2bkIPjSV_lKHD5zMVpZLSy7HFtgf1woR2fjxG9MbkYGKHHyrOG8N09OblF1bo2h-Jy84B2urzLQO2x504_mNf54omsvEKaApLqjxTS9dFHTDN7brsSGhyoQn9s6L1IKDhIeMIYOHOWl3_PYybWYftfS8I4UibpinZHHtpGbXDG8_3wUBc2I0DrTVJqcsNfL4k2clCd_UG1uZIMMH_grOQLc301rvJQDsbB-t4npnAwJlBNbtbO8ZtY6w9rlPC5sb830m6tUSgqsG7c38A1l8dQibjflAQTY0xN-tJ87TlsDLXivmlax1_xTFT-wPtA9Xhjyai0bFXRifaoWRt8Q2H3hhdLl06ap3XFyE2MVid2KvkYR8i1SCGb7h23lKlrY95iawPNBBH-2G8aAPalTtCXBXsUCqYk5Ff-BbwLRxeLIXkhThMFnU1FyBeePNSi0Ss&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=MylfPizEITS2%2BY4cKcFnQw%3D%3D&trk=flagship3_search_srp_jobs,"[CJ올리브영] 백엔드 개발자 (배송/물류/OMS)직무소개 - 확장 가능하고 안정적인 E-commerce Platform의 Service 개발 (배송/물류/OMS 등) 전사 목표를 이해하고 이를 달성하기 위해, 내부 플랫폼의 기술적 과제를 주도적으로 설정하여 해결책을 제시 적절한 기술 요소를 배치해 대용량 Traffic을 소화하고 안정적인 Architecture를 구성 필요한 경우 직접 모범적인 코드를 구성해 공유하고, 이를 통해 우선순위가 높은 목표를 달성 복잡한 문제를 단순화하고 즉각적인 해결책을 제시해 빠르게 해결 지원자격 - 8년 이상의 Back-end Application 개발 경력 Java 또는 Kotlin 중에 숙련된 개발 경험 보유 Spring Framework 기반의 애플리케이션 개발 경험 JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험 우대사항 - E-commerce Back-end 개발 경험 물류 프로세스에 대한 이해와 최적화 개발 경험 (배송/OMS/TMS/WMS 등) Message Streaming (Kafka, RabbitMQ 외) 개발 경험 NoSQL(Redis, MongoDB 외) 개발 경험 실시간 트래픽 처리와 대용량 데이터에 대한 개발 경험 대규모 분산 시스템 및 아키텍처 설계 경험 클라우드(AWS, Azure 외) 환경에서 개발 경험 MSA 환경을 구축하고 운영해 본 경험 기타 안내사항",LinkedIn
CJ OLIVE YOUNG,[CJ올리브영] 프론트엔드 개발자(앱서비스),https://www.linkedin.com/jobs/view/4089957600/?eBP=CwEAAAGWUmIKuGYFI2uGvYeCFWzh2hIiHWcSteAHR70NYi_Fvj0RdfEW35QxofWZxJ0xfShDuy_iNMOHeixD_reh34xOPTjQP62eSRk6kHk-rWF21eX0BHlpx6OTHZew0HHAWoDVY1k2Qbx6Acu4Nvyo3Ilx9azF1hrSFUuWya4i671nAYBKnCEM4cSD2NxlsWbZfxf_LxQVqiTMHRm_hQmY16OCn-NSc_4bJZDV_JUKxEB-kNILmRsXR5bqdOGLQyQplPz7NjPTv-CQ5cmoOjj3R-W_8iiqqJUuBgzh_QF85aE5eBE-O-wH4mPulKliRWvz7lparyG34cL9-KBGUo5E6h3GjN845-9bCzQr94InTAx_X2Yv4qrfxCzmE70Tkbp8Ep-QJEpMqKQuU-xlgxD2T1bS7qSLF-9WKRysekNWmK_Gv9fYFzttvmh4np9F_hHyqhBYI8QXvBa7xFs&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=sWxkFef9PnqoQzBlSk0t0A%3D%3D&trk=flagship3_search_srp_jobs,"[CJ올리브영] 프론트엔드 개발자(앱서비스)직무소개 - 고객 경험 기반의 신규/기술 개선 프로젝트 수행 Front-end Architecture 개선 및 개발 Front-end 개발자로서 사용자 경험 기반의 신규 기술 적용 신규 프로젝트 및 레거시 개선 업무 수행 React, TypeScript, Next.js, Recoil, Vue.js, JSP, jQuery 지원자격 - 7년 이상의 Front-end 개발 경력이나 그에 준하는 역량이 있으신 분 JavaScript 및 React와 같은 Front-end Framework 이해 및 개발 경험이 있으신 분 모바일 웹 및 Single Page Application에 대한 관심 및 프로젝트 경험이 있으신 분 상용 서비스 개발과 유지보수 경험이 있으신 분 어떤 문제든 주도적으로 해결하려고 하는 의지가 있으신 분 우수한 커뮤니케이션 스킬과 협업 자세를 보유하신 분 학습과 성장에 관심이 많고, 자기 개발을 위해 노력하시는 분 우대사항 - Typescript/React.js/Node.js 를 활용한 프로젝트 경험이 있는 분 대규모 서비스 개발 프로젝트에서 Front-end 성능 최적화 경험이 있는 분 하이브리드 앱 환경에서 개발 경험이 있으신분 딥링크에 대해 이해도가 높으신 분 테스트 코드 작성 경험이 있으신 분 더 나은 코드 품질을 위해 끊임없이 고민하고 리뷰에 적극적이신 분 기타 안내사항",LinkedIn
CJ OLIVE YOUNG,[CJ올리브영] 백엔드 개발자(앱서비스),https://www.linkedin.com/jobs/view/4089956726/?eBP=CwEAAAGWUmIKuFnzu49LWJ7Ay1biwp0pHaERMCRJOy3vNn2lelPpd2KmMRIEcIlAiM6ismpOg5XwIj2SxHZBwfiMzf7VHA07ZE9XZsG12Y6tUR-cPxnTDju6Y_RRmE0QLZ0y_mamtR0UHSFH13I5dFqVyW_WZ11_s4hGzkcwwW8RBMJyr3kGHGXypKx2XPZcr4MLbokth3zRI2_kTwbxEWLOIEmkfaa1Ftp9wFVVWFdoMHaW0DbBhqP_arqLJBGoXsCn_6IQ1mdv8gbvh3eAyIhOGk4pnNS6V_XXwi72jlwKY6St5rawZWDfVJm9n7nqJyImfxLAQ0l-2kI-LEWBc6xKKClO9QQOYXTETFzcyBCHCQIDew55djgmtz37F9qzA-srbyWulzVh05G-CKJ8FwkKuL9yIug6jm6yGdh8-V1iRuCHwIni6ysCNhM987tT-QvoFfahNVSJcjRRZos&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=SrEGWld6BFfVpYQ8IIbgKw%3D%3D&trk=flagship3_search_srp_jobs,"[CJ올리브영] 백엔드 개발자(앱서비스)직무소개 - 올리브영 온라인몰의 심리스 영역 및 신규 Service 개발 신규 Architecture 적용을 통한 레거시 시스템 개선 및 확장 문제 해결을 위한 가설을 수립하고 검증 지원자격 - 7년 이상의 Back-end 애플리케이션 개발 경력이 있으신 분 아키텍처 디자인에 대한 이해가 있으신 분 잠재적인 문제를 해결을 위해 가설을 수립하고 수행한 경험이 있으신 분 실시간 트래픽 처리와 분산 시스템에 관한 이해가 있으신 분 상용 서비스 개발과 유지보수 경험이 있으신 분 올리브영의 성장과 함께 성공 경험을 만들어 가고 싶으신 분 어떤 문제든 주도적으로 해결하려고 하는 의지가 있으신 분 우수한 커뮤니케이션 스킬과 협업 자세를 보유하신 분 학습과 성장에 관심이 많고, 자기 개발을 위해 노력하시는 분 우대사항 - Spring Boot 를 이용한 프로젝트 수행 경험이 있으신 분 Kotlin / Java 를 이용한 기능 개발 경험이 있으신 분 Docker, Kubernetes 등 컨테이너 기반 기술을 이용한 배포/운영 경험이 있으신 분 ORM(JPA/Hibernate) 및 Mongo DB, Redis 등의 NoSQL 환경에서의 설계/개발/운영 경험이 있으신 분 Microservices 설계 경험 MQ 나 Kafka 등의 비동기 처리 Stream Engine 운영/개발 경험이 있으신 분 다양한 캐싱 전략에 대한 이해 및 경험이 있으신 분 테스트 코드 작성 경험이 있으신 분 더 나은 코드 품질을 위해 끊임없이 고민하고 리뷰에 적극적이신 분 기타 안내사항",LinkedIn
CJ OLIVE YOUNG,"[CJ올리브영] 프론트엔드 개발자(회원, 쿠폰, 캠페인)",https://www.linkedin.com/jobs/view/4173516709/?eBP=CwEAAAGWUmIKuXV8Sdd19FrntOoaYoVPdk50NOMoYOeHsdU_5l1MAFs0_pPvMOriWDZIpoHaJ2vDyGkYCGGGiLKK-zYGCn8KXZV-w-69mD2Q6R-wdTpCq6KbBaaeEnd8nB2ogJN9WZQcbfUPSnOjq3GdfprwmqlMJ7OM4shvkmKYSYh4idYAuMtcAevOMVXnrfc0b_OxpJN5Dkj3n86WEDukQ5812Memc8S_GEViRJIL4nTTF6h8bGqCm-gmMxT56YV0nlzQhp7Y02SJXr_RwNsakKCbAeencxWvvmHYP4497D70Qm_1jZF8LM4zfTt-4ObkYGRDg1XMNRia3vIFoMBb1yhf4TH9lJc52qbQ_YXeCxI8lYcXDBbUFOCiyP2Uph75fLyCxnvQp8d-ok8JT-oRE0bn7u1Wg8-9D8eqRSOlZfEpVP9cY2a648UDNuVb4KcCPF1JOsZ7nNArzS0to4ciWFP7ELBaQn_XjTlv5bdceAfKfA3t-EHPIhUhoC4HBusBITjfxA&refId=2msAruFoEy5smadr9wWFGA%3D%3D&trackingId=bsGPK2BF71Vh63xfAxa%2Fjg%3D%3D&trk=flagship3_search_srp_jobs,"[CJ올리브영] 프론트엔드 개발자(회원, 쿠폰, 캠페인)직무소개 - 고객 경험 기반의 신규/기술 개선 프로젝트 수행 및 레거시 개선 업무 수행 확장 가능하고 안정적인 E-commerce Platform 의 회원/멤버십, 쿠폰/증정, 캠페인 영역 Service 개발 Front-end Architecture 개선 및 개발 대규모 서비스의 Front-End 성능 최적화지원자격 - 관련 경력 8년 이상 JavaScript 및 React와 같은 Front-end Framework 이해 및 개발 경험 모바일 웹 및 Single Page Application에 대한 관심 및 프로젝트 경험 우수한 커뮤니케이션 스킬과 협업 자세 보유 사용자 관점에서 서비스 개선점을 적극적으로 개진하고 반영할 수 있는 분 React, TypeScript, Next.js, Recoil, Vue.js, JSP, jQuery 우대사항 - Typescript/React.js/Node.js 를 활용한 프로젝트 경험 대규모 서비스 개발 프로젝트에서 Front-end 성능 최적화 경험 회원 로그인 서비스를 안정적으로 운영하고 제공한 경험 웹 서비스 개발 시 보안을 고려하고, 웹·앱 접근성을 기반으로 UI/UX 개발 및 운영한 경험 고객 혜택 제공 서비스 영역에서 (멤버십, 쿠폰, 증정행사 등) 업무 경험 이커머스 또는 패션/뷰티 관련 도메인에서 모바일 서비스 프로젝트 참여 경험 Braze(브레이즈)를 활용한 마케팅 서비스 운영 경험 기타 안내사항",LinkedIn
